,词频,发音,词性,原型
君,20265,キミ,名詞,君
し,16665,シ,動詞,する
い,13853,イ,動詞,いる
ん,12258,ン,名詞,ん
の,11599,ノ,名詞,の
僕,11458,ボク,名詞,僕
この,10109,コノ,連体詞,この
てる,9954,テル,動詞,てる
こと,9438,コト,名詞,こと
あなた,9173,アナタ,名詞,あなた
何,9097,ナン,名詞,何
人,9009,ヒト,名詞,人
ない,8895,ナイ,形容詞,ない
いい,8671,イイ,形容詞,いい
よう,8434,ヨウ,名詞,よう
れ,8222,レ,動詞,れる
いる,8139,イル,動詞,いる
今,8023,イマ,名詞,今
私,7833,ワタシ,名詞,私
もう,7558,モウ,副詞,もう
そう,6619,ソウ,名詞,そう
さ,6338,サ,名詞,さ
その,6236,ソノ,連体詞,その
誰,5825,ダレ,名詞,誰
心,5680,シン,名詞,心
て,5638,テ,動詞,てる
なっ,5389,ナッ,動詞,なる
あの,5273,アノ,連体詞,あの
夢,5084,ユメ,名詞,夢
中,4999,ナカ,名詞,中
日,4925,ニチ,名詞,日
手,4888,テ,名詞,手
愛,4847,アイ,名詞,愛
まま,4601,ママ,名詞,まま
それ,4592,ソレ,名詞,それ
世界,4414,セカイ,名詞,世界
また,4263,マタ,接続詞,また
夜,4192,ヨル,名詞,夜
なる,4168,ナル,動詞,なる
ずっと,4136,ズット,副詞,ずっと
一,4112,イチ,名詞,一
見,4054,ミ,動詞,見る
時,4015,トキ,名詞,時
空,3821,ソラ,名詞,空
言葉,3747,コトバ,名詞,言葉
きっと,3743,キット,副詞,きっと
ある,3742,アル,動詞,ある
忘れ,3626,ワスレ,動詞,忘れる
今日,3609,キョウ,名詞,今日
もの,3603,モノ,名詞,もの
く,3588,ク,動詞,く
目,3485,メ,名詞,目
声,3433,コエ,名詞,声
まだ,3429,マダ,副詞,まだ
する,3397,スル,動詞,する
せ,3362,セ,動詞,する
僕ら,3310,ボクラ,名詞,僕ら
どこ,3231,ドコ,名詞,どこ
好き,3213,スキ,名詞,好き
られ,3172,ラレ,動詞,られる
ただ,3164,タダ,接続詞,ただ
明日,3159,アシタ,名詞,明日
くれ,3081,クレ,動詞,くれる
涙,3047,ナミダ,名詞,涙
そんな,2978,ソンナ,連体詞,そんな
生き,2977,イキ,動詞,生きる
ここ,2941,ココ,名詞,ここ
いつ,2931,イツ,名詞,いつ
いく,2915,イク,動詞,いく
自分,2890,ジブン,名詞,自分
二,2805,ニ,名詞,二
いつか,2785,イツカ,名詞,いつか
風,2763,カゼ,名詞,風
お,2707,オ,接頭詞,お
いつも,2687,イツモ,副詞,いつも
胸,2683,ムネ,名詞,胸
恋,2554,コイ,名詞,恋
どう,2524,ドウ,副詞,どう
みたい,2509,ミタイ,名詞,みたい
ゆく,2476,ユク,動詞,ゆく
未来,2475,ミライ,名詞,未来
もっと,2433,モット,副詞,もっと
前,2394,ゼン,接頭詞,前
花,2371,ハナ,名詞,花
度,2360,ド,名詞,度
き,2347,キ,動詞,くる
消え,2298,キエ,動詞,消える
ら,2279,ラ,名詞,ら
知ら,2233,シラ,動詞,知る
気,2222,キ,名詞,気
日々,2208,ヒビ,名詞,日々
笑っ,2185,ワラッ,動詞,笑う
事,2184,コト,名詞,事
み,2118,ミ,動詞,みる
全て,2089,スベテ,名詞,全て
的,2051,テキ,名詞,的
光,2026,ヒカリ,名詞,光
愛し,2000,アイシ,動詞,愛す
ほら,1954,ホラ,感動詞,ほら
先,1948,サキ,名詞,先
想い,1936,オモイ,名詞,想い
これ,1924,コレ,名詞,これ
少し,1918,スコシ,副詞,少し
信じ,1870,シンジ,動詞,信じる
こんな,1863,コンナ,連体詞,こんな
っ,1836,ッ,動詞,く
ため,1802,タメ,名詞,ため
泣い,1800,ナイ,動詞,泣く
星,1797,ホシ,名詞,星
雨,1797,アメ,名詞,雨
街,1780,マチ,名詞,街
でも,1779,デモ,接続詞,でも
見え,1772,ミエ,動詞,見える
夏,1772,ナツ,名詞,夏
しまう,1726,シマウ,動詞,しまう
全部,1706,ゼンブ,名詞,全部
俺,1689,オレ,名詞,俺
幸せ,1673,シアワセ,名詞,幸せ
れる,1659,レル,動詞,れる
気持ち,1653,キモチ,名詞,気持ち
行く,1650,イク,動詞,行く
遠く,1645,トオク,形容詞,遠い
たち,1626,タチ,名詞,たち
音,1625,オト,名詞,音
来,1618,キ,動詞,来る
なく,1616,ナク,形容詞,ない
道,1605,ミチ,名詞,道
歌,1575,ウタ,名詞,歌
ああ,1574,アア,感動詞,ああ
待っ,1562,マッ,動詞,待つ
言っ,1561,イッ,動詞,言う
嘘,1556,ウソ,名詞,嘘
無い,1524,ナイ,形容詞,無い
探し,1523,サガシ,動詞,探す
キミ,1520,キミ,名詞,キミ
あっ,1497,アッ,動詞,ある
時間,1490,ジカン,名詞,時間
笑顔,1487,エガオ,名詞,笑顔
さよなら,1464,サヨナラ,感動詞,さよなら
色,1452,イロ,名詞,色
同じ,1422,オナジ,連体詞,同じ
意味,1416,イミ,名詞,意味
だから,1414,ダカラ,接続詞,だから
一つ,1413,ヒトツ,名詞,一つ
わたし,1406,ワタシ,名詞,わたし
どんな,1399,ドンナ,連体詞,どんな
知っ,1393,シッ,動詞,知る
貴方,1378,アナタ,名詞,貴方
顔,1333,カオ,名詞,顔
最後,1332,サイゴ,名詞,最後
しまっ,1314,シマッ,動詞,しまう
それでも,1301,ソレデモ,接続詞,それでも
なれ,1296,ナレ,動詞,なれる
すぐ,1295,スグ,副詞,すぐ
会い,1280,アイ,動詞,会う
え,1272,エ,動詞,える
朝,1239,アサ,名詞,朝
みんな,1228,ミンナ,名詞,みんな
言え,1224,イエ,動詞,言える
場所,1221,バショ,名詞,場所
言う,1219,イウ,動詞,言う
言わ,1217,イワ,動詞,言う
ねえ,1201,ネエ,感動詞,ねえ
あ,1198,ア,フィラー,あ
抱きしめ,1197,ダキシメ,動詞,抱きしめる
なり,1191,ナリ,動詞,なる
様,1181,ヨウ,名詞,様
方,1168,ホウ,名詞,方
でき,1164,デキ,動詞,できる
上,1163,ウエ,名詞,上
月,1157,ツキ,名詞,月
ちゃっ,1149,チャッ,動詞,ちゃう
なん,1137,ナン,名詞,なん
ひとつ,1129,ヒトツ,名詞,ひとつ
思い出,1121,オモイデ,名詞,思い出
息,1116,イキ,名詞,息
思っ,1110,オモッ,動詞,思う
感じ,1106,カンジ,動詞,感じる
教え,1105,オシエ,動詞,教える
思う,1100,オモウ,動詞,思う
そっと,1093,ソット,副詞,そっと
あたし,1090,アタシ,名詞,あたし
ちょっと,1089,チョット,副詞,ちょっと
欲しい,1085,ホシイ,形容詞,欲しい
きみ,1082,キミ,名詞,きみ
強く,1078,ツヨク,形容詞,強い
そこ,1072,ソコ,名詞,そこ
はず,1063,ハズ,名詞,はず
ひとり,1060,ヒトリ,名詞,ひとり
行こ,1057,イコ,動詞,行く
変わら,1057,カワラ,動詞,変わる
ちゃう,1051,チャウ,動詞,ちゃう
そば,1038,ソバ,名詞,そば
ねぇ,1036,ネェ,感動詞,ねぇ
子,1032,コ,名詞,子
答え,1029,コタエ,名詞,答え
やっ,1028,ヤッ,動詞,やる
終わり,1028,オワリ,動詞,終わる
すべて,1019,スベテ,名詞,すべて
伝え,1016,ツタエ,動詞,伝える
春,1011,ハル,名詞,春
命,1008,イノチ,名詞,命
続け,999,ツヅケ,動詞,続ける
永遠,999,エイエン,名詞,永遠
しよ,995,シヨ,動詞,する
回,992,カイ,名詞,回
海,985,ウミ,名詞,海
人生,981,ジンセイ,名詞,人生
思い,977,オモイ,動詞,思う
ありがとう,974,アリガトウ,感動詞,ありがとう
瞳,971,ヒトミ,名詞,瞳
出,971,デ,動詞,出る
触れ,960,フレ,動詞,触れる
さあ,953,サア,感動詞,さあ
歩い,952,アルイ,動詞,歩く
頃,944,コロ,名詞,頃
わかっ,936,ワカッ,動詞,わかる
一緒,928,イッショ,名詞,一緒
痛み,926,イタミ,名詞,痛み
くれる,916,クレル,動詞,くれる
運命,913,ウンメイ,名詞,運命
痛い,896,イタイ,形容詞,痛い
いら,896,イラ,動詞,いる
ふたり,890,フタリ,名詞,ふたり
笑う,889,ワラウ,動詞,笑う
どうして,885,ドウシテ,副詞,どうして
こ,884,コ,名詞,こ
られる,878,ラレル,動詞,られる
すぎ,878,スギ,動詞,すぎる
離れ,876,ハナレ,動詞,離れる
落ち,875,オチ,動詞,落ちる
かけ,871,カケ,動詞,かける
悲しみ,866,カナシミ,名詞,悲しみ
願い,862,ネガイ,名詞,願い
とき,861,トキ,名詞,とき
そして,858,ソシテ,接続詞,そして
季節,854,キセツ,名詞,季節
お前,852,オマエ,名詞,お前
年,851,ネン,名詞,年
